post_type,gou,published_date,post_date,post_status,post_name,fuamc,top,tax_free_article,tax_auto_sorte,tax_land,tax_company,post_title,post_content,tax_related,tax_sum_kubun
"auto","591","2017/04/28","2017/04/28","publish","ai15245","3","0","","auto-sogo","europe","","EU新車販売、3月は11.2％増加","<p>欧州自動車工業会（ACEA）が4月19日発表した欧州連合（EU）（マルタを除く27カ国）の2017年3月の新車販売（登録）台数は189万1,583台となり、前年同期に比べ11.2％増加した。3月単月の登録台数としては過去最高を記録した。大幅な増加は、昨年は3月だった復活祭（イースター）の祝日が、今年は4月になったことが主因。1～3月の累計は、前年同期比8.4％増の414万1,269台だった。</p><p>3月の主要国の登録台数は、イタリア（18.2％増）、スペイン（12.6％増）、ドイツ（11.4％増）が2ケタ増、英国（8.4％増）、フランス（7.0％増）も前年同月を上回った。</p><p>3月のメーカー別の登録台数は、最大手のフォルクスワーゲン（VW）グループが前年同月比6.5％増、2位のPSAグループが6.9％増、3位のルノー・グループも14.4％増となるなど、多くのメーカーが販売を伸ばした。</p><p>日本勢は、トヨタ・グループ（19.2％増）、日産（18.2％増）、スズキ（24.5％増）が2ケタの伸び率だった。マツダ（0.5％増）も小幅ながらも前年同月を上回った。三菱自（0.1％減）は微減、ホンダ（14.6％減）は2ケタの落込みとなった。</p>","自動車,EU,統計",""
"auto","591","2017/04/28","2017/04/28","publish","ai15244","3","0","","auto-sogo","eu","","EUの新車CO2排出量、16年は1.2％減","<p>欧州環境庁（EEA）が4月20日公表したリポートによると、2016年に欧州連合（EU）域内で登録された乗用車の二酸化炭素（CO2）排出量は走行1キロメートルあたり平均118.1グラムで、前年比1.2％減となった。モニタリングシステムが更新された10年からの累計では22グラム（16％）減を記録したが、削減ペースはこのところ鈍化しており、EEAはEUが掲げる21年までに新車のCO2排出量を平均95グラム以下に抑えるという目標を達成するため、さらに取り組みを強化する必要があると警告している。</p><p>リポートによると、16年にEU域内で登録された乗用車は合計147万台に上り、チェコ、オランダ、スロベニアを除く25カ国で新車登録台数が前年の水準を上回った。電気自動車の登録台数は6万4,000台で、前年比13％増となった。国別ではフランスが2万2,689台でトップに立ち、ドイツ（1万1,472台）、英国（1万268台）と続いている。ただ、低公害車が全体に占める割合は依然として小さく、新車登録台数のうち電気自動車とハイブリッド車を合わせたシェアは1.1％と、前年の1.2％から縮小した。</p><p>一方、新車のCO2排出量はオランダを除くすべての加盟国で15年の水準を下回った。ただ、前年比5％増となったオランダでは走行１キロメートルあたりのCO2排出量が平均106グラムとなっており、これはポルトガルの105グラムに次いで低い水準。デンマークとギリシャも105グラムで同率2位に並んでいる。これに対し、エストニアは平均134グラムと、全加盟国の中で最もCO2排出量が多くなっている。一方、前年と比較したCO2排出量の削減幅はラトビアの8.2グラムが最も大きく、チェコ（5.2グラム）が2位につけた。</p><p></p>","EU,自動車,環境,統計","EUにおける環境規制動向"
"auto","591","2017/04/28","2017/04/28","publish","ai15246","","1","auto-free","automaker","sweden","Volvo Cars","ボルボ・カーズ、初EVを中国で生産","<p>スウェーデン乗用車大手のボルボ・カーズは4月19日、上海モーターショーで、同社初の電気自動車を中国で生産すると発表した。小型モデル向けのプラットフォーム「コンパクト・モジュラー・アーキテクチャー（CMA）」をベースとした新モデルで、2019年から販売を開始する計画。中国から世界市場に輸出する。</p><p>中国は世界最大の電気駆動車の市場であり、中国政府は都市部における渋滞や大気汚染の対策として、純粋な電気自動車やハイブリッド車の販売を積極的に支援している。</p><p>ボルボ・カーズは、ハイブリッド車も含む電気駆動車を2025年までに累計で100万台販売する目標を掲げている。大型モデル向けのプラットフォーム「スケーラブル・プロダクト・アーキテクチャー（SPA）」をベースにした純粋な電気自動車の開発も予定している。また、将来はすべてのモデルシリーズからプラグインハイブリッド車を販売することを計画している。</p><p>ボルボ・カーズは2010年から中国の自動車大手である吉利汽車の傘下にある。中国に3カ所の生産拠点を持ち、大慶で「90シリーズ」、成都で「60シリーズ」、台州市路橋区では「40シリーズ」を生産している。</p>","自動車,EU","欧州自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15247","3","0","","automaker","sweden","Volvo Cars","ボルボとオートリブ、自動運転用ソフトウエアの合弁始動","<p>スウェーデンの乗用車大手ボルボ・カーズと自動車安全システム大手のオートリブが設立した自動運転システム用ソフトウエアを開発する合弁会社Zenuityが4月18日、業務を開始した。</p><p>合弁会社の出資比率はそれぞれ50％。本社をスウェーデンのイエーテボリに置き、ドイツのミュンヘンと米デトロイトにも拠点を持つ。従業員数は当初、約300人でスタートする。両社からの出向に加え、一部は新規に採用した。中期的に600人に増員する計画。</p><p>同合弁が開発する先進運転支援システム（ADAS）と自動運転（AD）システムは、ボルボ車に搭載するほか、オートリブを通してボルボ以外の自動車メーカーにも販売する。2019年までに最初のADAS製品を発売し、その後、AD技術も市場投入する計画。</p>","自動車,EU","欧州自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15248","3","0","","automaker","poland","Solaris","ソラリス、オランダで初受注","<p>ポーランドのバス製造大手ソラリスは4月19日、オランダの公共交通事業大手Connexxionから連結バス「ウルビーノ18」40台を受注したと発表した。年内に納車する予定。ソラリスにとってはオランダ市場における初受注となる。今回、Connexxionに納車する車両はすべて、蘭DAF製エンジンを搭載する。</p><p>ソラリスはこれまでに世界30カ国で販売実績があった。今回のオランダと、先頃受注を獲得したルクセンブルクがこれに加わり、32カ国に拡大した。同社の車両はこれまでに世界600都市以上で1万5,000台が走行している。</p><p></p>","自動車,EU","欧州自動車工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15253","3","0","","buhinmaker","deutschland","Hella","独ヘラーの中国合弁、天津市近郊に新工場","<p>独自動車照明・電子部品大手のヘラーは4月20日、天津市の郊外に位置する武清区に照明システムの新工場を建設すると発表した。中国の北京汽車集団（BAICグループ）傘下の北京海納川汽車部件股彬有限公司（BHAP）と設立した合弁会社、北京ヘラーBHAPオートモーティブ・ライティング（HELLA‐BHAP）の工場で、2017年10月に生産を開始する予定。BAICグループ傘下の企業や他の中国自動車メーカーに高性能の照明システムを供給していく。</p><p>新工場は当初、生産面積が約1万2,000平方メートル、ヘッドライトの生産能力は年120万ユニット、従業員は約250人を予定している。中期的に生産面積を3倍に拡大し、様々な照明製品の生産に対応できるプラント設計になっている。</p><p>新工場の製品は、BAICグループ傘下の企業では例えば、独自動車大手ダイムラーと北京汽車（BAIC）との合弁会社である北京ベンツ・オートモーティブ（BBAC）や、BAICグループ傘下の乗用車メーカーである北京汽車（BAIC Motor）などに供給する予定。</p><p>合弁会社HELLA‐BHAPは、中国市場向けの生産拠点だけでなく、150人以上のエンジニアを抱える開発機能も持っている。開発チームは、ヘッドランプ、リアランプ、カーボディ照明、内装照明などの開発・マーケティングに従事している。</p><p>ヘラーは現在、合弁事業も合わせ中国に13の生産・開発拠点を持ち、従業員約6,000人を抱える。ヘラーの中国事業の売上高は（2015／16年度）は7億ユーロを超える規模となっている。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15252","3","0","","buhinmaker","england","Victrex","英ビクトレックス、PEEK繊維メーカーを買収","<p>英高性能樹脂メーカーのビクトレックスは4月6日、同国のポリエーテルエーテルケトン（PEEK）繊維メーカーであるZyexを買収したと発表した。買収価格は現金対価で1,000万ポンド。</p><p>Zyexは主に、航空宇宙産業や自動車産業、一般産業向けにPEEK樹脂をベースとしたファイバー製品を供給している。Zyexの製品は例えば、搬送用ベルトや浄化フィルター、ワイヤーハネスなどに使用されている。</p><p>Zyexの買収は、ビクトレックスのダウンストリーム（下流部門）戦略に沿ったもので、ファイバーアプリケーション分野における下流分野の成長機会を提供するという。具体的には、PEEKおよびポリアリルエーテルケトン（PAEK）樹脂の半製品や製品を強化する意向。また、Zyexの買収は、積層造形（3Dプリンティング）事業への参入にも寄与すると見込んでいる。</p><p>ビクトレックスは、Zyexの買収により、PEEK繊維を使用した製品の既存事業を強化するとともに、Zyexの繊維製品やアプリケーションに関するノウハウを生かした新市場の開拓にも注力する。</p><p>Zyexは、ビクトレックスと同じく、英化学大手のインペリアル・ケミカル・インダストリーズ（ICI）を母体とする。従業員数は22人で、英南西部のグロスタシャーに工場を持つ。Zyexとビクトレックスはすでに長期に渡り、取引関係にあった。</p>","自動車,EU","欧州自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15251","3","0","","buhinmaker","deutschland","FIT","独FIT、積層造形に特化した生産棟を建設","<p>積層造形を得意とする独FITは4月初めに開催した同社のテクノロジーデーで、積層造形に特化した生産棟を公開した。建設投資は約2,000万ユーロ。同生産棟は2階建てで、1階では金属製の積層造形部品、2階では樹脂製の積層造形部品を製造する。4月13 日付の独業界紙『オートモービルインダストリー』（オンライン版）が報じた。</p><p>この生産棟はFITのグループ会社が今後建設する積層造形工場のモデル工場に位置付けられる。1階には、SLM製の積層造形装置14台に加え、Eos製の積層造形装置を導入した。2 階では主に、自動車部品のプロトタイプを製造する。</p><p>FITは1995年の設立。子会社のFITプロトタイピングやFITプロダクションを通して、ラピッドプロトタイピングや積層造形のデザイン・製造などを得意としている。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15250","3","3","","buhinmaker","deutschland","Schaeffler","独シェフラー、電気駆動車の急速な普及を想定・新シナリオを補足＝独紙インタビュー","<p>独自動車部品大手シェフラーのクラウス・ローゼンフェルト社長は独経済紙『ハンデルスブラット』（4月19日付）に掲載されたインタビュー記事の中で、自動車メーカーのエレクトロモビリティ戦略の強化や、排ガス規制の強化を受けて、電気駆動車が急速に普及することを想定した新しい予想シナリオを補足したと明らかにした。新シナリオでは、2030年に電気駆動車が30％、ハイブリッド車は40％、純粋な内燃エンジン搭載車は30％になると予想している。</p><p>ローゼンフェルト社長は新シナリオについて、全体の7割が電気駆動車となるが、ハイブリッド車も内燃エンジンを装備しているため、内燃エンジンを搭載した車両も全体の7割になると指摘する。このため、内燃エンジンの需要や潜在性も依然として存在するとの認識を示す。</p><p>同社長によると、シェフラーは2016年初めに新戦略を検討した際、様々な駆動技術の将来の普及率を予想するシナリオを作成した。当時は、2030年における純粋な電気自動車の割合が全体の10％、ハイブリッド車は37％という予想シナリオだったが、2017年になり、電気駆動車の普及が急速に進むケースを想定した新しいシナリオを補足したという。</p><p>新シナリオの補足は、欧米の自動車大手に加え、特に中国の自動車メーカーが電気駆動車を強化する方針を打ち出したことが背景にある。また、世界的に排ガス規制がさらに厳格化される傾向が強まると想定し、新しいシナリオに反映させた。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
"auto","591","2017/04/28","2017/04/28","publish","ai15255","3","0","","buhinmaker","deutschland","ZF","独ZF、中国の開発能力を増強","<p>独自動車部品大手のZFは上海モーターショー（一般公開：2017年4月21～28日）の開催に合わせて、上海市松江区に建設した新しい開発センターの開所式を行った。今後5年かけて段階的に拡張し、2020年までに総面積を5万4,000平方メートルとする計画。従業員数も現在の400人からさらに600人増やし、約1,000人とする予定。投資総額は5,000万ユーロ。</p><p>同開発センターでは、乗用車、商用車、鉄道車両、特殊車両など幅広い分野のドライブラインとシャーシ技術のアプリケーション開発に重点を置く。なかでも、中国で急成長しているエレクトロモビリティに注力する方針。また、試験装置も刷新・拡充する。</p><p>この新開発センターは、上海の嘉定区安亭鎮にある既存のZF技術センターとも密接に連携していく。安亭鎮の技術センターでは、アジア市場向けのアクティブ／パッシブセーフティー技術に重点を置いている。</p>","自動車,EU","ドイツ自動車部品工業界の動き"
